,Team,Country_ID,Year,Season,City,Sport,Event,Medal
260402,Great Britain,GBR,2008,Summer,Beijing,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
260405,Great Britain,GBR,2012,Summer,London,Cycling,Cycling Men's Individual Time Trial,Gold
260406,Great Britain,GBR,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
260409,United States,USA,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Gold
260416,United States-1,USA,1924,Summer,Paris,Tennis,Tennis Mixed Doubles,Gold
260417,United States-1,USA,1924,Summer,Paris,Tennis,Tennis Women's Doubles,Gold
260420,Australia,AUS,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver
260443,Indonesia,INA,2000,Summer,Sydney,Badminton,Badminton Men's Doubles,Gold
260447,Netherlands,NED,1936,Summer,Berlin,Canoeing,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Bronze
260448,Netherlands,NED,1936,Summer,Berlin,Canoeing,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Bronze
260464,Netherlands,NED,1920,Summer,Antwerpen,Fencing,"Fencing Men's Sabre, Team",Bronze
260467,Netherlands,NED,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Team",Bronze
260481,Netherlands,NED,1912,Summer,Stockholm,Football,Football Men's Football,Bronze
260490,Sweden,SWE,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
260491,Norway,NOR,1968,Summer,Mexico City,Sailing,Sailing Mixed Two Person Keelboat,Silver
260493,Sweden,SWE,1936,Winter,Garmisch-Partenkirchen,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold
260505,Sweden,SWE,1992,Winter,Albertville,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
260511,Sweden,SWE,1932,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,Silver
260512,Sweden,SWE,1936,Winter,Garmisch-Partenkirchen,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Silver
