,Team,Country_ID,Year,Season,City,Sport,Event,Medal
3,Denmark/Sweden,DEN,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
37,Finland,FIN,1920,Summer,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
38,Finland,FIN,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
40,Finland,FIN,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
41,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
42,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
44,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold
48,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
50,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
60,Norway,NOR,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,Gold
61,Norway,NOR,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
63,Norway,NOR,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
64,Norway,NOR,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
67,Norway,NOR,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,Silver
73,Norway,NOR,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Gold
76,Norway,NOR,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,Gold
78,Norway,NOR,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,Gold
79,Norway,NOR,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
86,Norway,NOR,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
91,Netherlands,NED,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze
92,Netherlands,NED,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver
105,Norway,NOR,1996,Summer,Atlanta,Football,Football Women's Football,Bronze
106,Norway,NOR,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
110,Norway,NOR,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
113,Norway,NOR,1960,Winter,Squaw Valley,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
117,Taifun,NOR,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Gold
150,France,FRA,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold
158,Italy,ITA,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
159,Spain,ESP,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
161,Azerbaijan,AZE,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
163,Russia,RUS,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
172,Belarus,BLR,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
173,France,FRA,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
174,France,FRA,2012,Summer,London,Handball,Handball Men's Handball,Gold
175,France,FRA,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
178,Cameroon,CMR,2000,Summer,Sydney,Football,Football Men's Football,Gold
182,Spain,ESP,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold
186,United States,USA,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
188,Spain,ESP,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
191,Spain,ESP,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze
195,Russia,RUS,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver
200,France,FRA,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
208,Hungary,HUN,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver
210,Hungary,HUN,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
214,Italy,ITA,1936,Summer,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
218,Italy,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
219,Italy,ITA,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Gold
220,Italy,ITA,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
221,Italy,ITA,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
222,Italy,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
223,Italy,ITA,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
226,Italy,ITA,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
227,Italy,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
228,Italy,ITA,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
268,Thessalonki-1,GRE,1906,Summer,Athina,Football,Football Men's Football,Bronze
274,Australia,AUS,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
278,United States,USA,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze
283,United States,USA,1900,Summer,Paris,Golf,Golf Women's Individual,Gold
286,United States,USA,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
311,United States,USA,2004,Summer,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver
450,Iran,IRI,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
476,Canada,CAN,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
524,Pakistan,PAK,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
525,Pakistan,PAK,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver
550,Soviet Union,URS,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
587,Uzbekistan,UZB,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold
590,Azerbaijan,AZE,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
591,Azerbaijan,AZE,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
609,United States,USA,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
617,Tajikistan,TJK,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
620,Unified Team,EUN,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Gold
636,Japan,JPN,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,Gold
655,Ethiopia,ETH,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",Bronze
663,Switzerland,SUI,1924,Summer,Paris,Football,Football Men's Football,Silver
672,United States,USA,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
673,Canada,CAN,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
677,East Germany,GDR,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Silver
684,Canada,CAN,2012,Summer,London,Diving,Diving Women's Synchronized Springboard,Bronze
700,Fornebo,NOR,1920,Summer,Antwerpen,Sailing,Sailing Mixed 7 metres,Silver
702,Spain,ESP,1992,Summer,Barcelona,Football,Football Men's Football,Gold
710,Vesper Boat Club,USA,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold
711,Vesper Boat Club,USA,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold
720,Ethiopia,ETH,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,Gold
727,Sweden,SWE,1912,Summer,Stockholm,Athletics,Athletics Men's Long Jump,Bronze
728,Sweden,SWE,1912,Summer,Stockholm,Athletics,Athletics Men's Triple Jump,Silver
739,United States,USA,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
740,South Africa,RSA,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
747,Turkey,TUR,2008,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver
771,Bulgaria,BUL,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
787,United States,USA,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
789,Russia,RUS,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
790,Russia,RUS,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
794,Russia,RUS,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
796,Russia,RUS,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
797,Russia,RUS,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
803,Soviet Union,URS,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
804,Soviet Union,URS,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
814,Australia,AUS,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
861,Egypt,EGY,2012,Summer,London,Fencing,"Fencing Men's Foil, Individual",Silver
884,Hungary,HUN,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
885,Hungary,HUN,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
886,Hungary,HUN,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
892,Great Britain,GBR,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
903,Sweden,SWE,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
915,Great Britain,GBR,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,Gold
917,Great Britain,GBR,1924,Summer,Paris,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
921,Norway,NOR,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
929,Sweden,SWE,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,Bronze
935,Sweden,SWE,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
966,Russia,RUS,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Bronze
971,Soviet Union,URS,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
974,Russia,RUS,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
1029,Spain,ESP,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
1035,Russia,RUS,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze
1043,Soviet Union,URS,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
1044,France,FRA,2004,Summer,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
1045,France,FRA,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
1080,Jordan,JOR,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold
1089,Japan,JPN,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1105,Soviet Union,URS,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",Bronze
1106,Soviet Union,URS,1980,Summer,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
1121,Romania,ROU,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1126,France,FRA,2012,Summer,London,Handball,Handball Men's Handball,Gold
1133,Switzerland,SUI,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
1154,Spain,ESP,1920,Summer,Antwerpen,Football,Football Men's Football,Silver
1162,Puerto Rico,PUR,1992,Summer,Barcelona,Boxing,Boxing Men's Welterweight,Bronze
1173,Mexico,MEX,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
1191,Ghana,GHA,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
1192,Switzerland,SUI,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
1196,Morocco,MAR,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,Bronze
1198,Morocco,MAR,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,Bronze
1210,Soviet Union,URS,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
1227,Netherlands,NED,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Bronze
1228,Netherlands,NED,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver
1237,Sweden,SWE,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
1238,New Zealand,NZL,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Gold
1239,United States,USA,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
1244,Germany,GER,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Team,Silver
1246,Germany,GER,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Sprint,Silver
1247,Germany,GER,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Team,Silver
1254,Switzerland-1,SUI,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,Gold
1255,Switzerland-1,SUI,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Four,Bronze
1256,Switzerland-1,SUI,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Gold
1257,Switzerland-1,SUI,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,Silver
1258,Switzerland-2,SUI,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Silver
1276,Argentina,ARG,2008,Summer,Beijing,Football,Football Men's Football,Gold
1288,Cuba,CUB,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,Bronze
1293,Uruguay,URU,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Bronze
1325,Poland,POL,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Bronze
1345,United States,USA,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Eights,Gold
1352,Czechoslovakia,TCH,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
1366,Canada,CAN,2006,Winter,Torino,Curling,Curling Men's Curling,Gold
1373,Germany,GER,1936,Summer,Berlin,Fencing,"Fencing Men's Foil, Team",Bronze
1375,France,FRA,1948,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
1388,Poland,POL,1992,Summer,Barcelona,Football,Football Men's Football,Silver
1450,United States,USA,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Silver
1451,United States,USA,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Bronze
1462,United States,USA,1904,Summer,St. Louis,Swimming,Swimming Men's Plunge For Distance,Silver
1472,United States,USA,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
1490,Great Britain,GBR,1980,Summer,Moskva,Judo,Judo Men's Lightweight,Silver
1491,Great Britain,GBR,1984,Summer,Los Angeles,Judo,Judo Men's Half-Middleweight,Silver
1494,Great Britain,GBR,2012,Summer,London,Boxing,Boxing Women's Flyweight,Gold
1495,Great Britain,GBR,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold
1511,United States,USA,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Gold
1512,United States,USA,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Silver
1514,United States,USA,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
1519,Great Britain,GBR,2014,Winter,Sochi,Curling,Curling Women's Curling,Bronze
1527,New Zealand,NZL,2008,Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold
1528,New Zealand,NZL,2012,Summer,London,Athletics,Athletics Women's Shot Put,Gold
1529,New Zealand,NZL,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver
1533,Germany,GER,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
1534,Germany,GER,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Pairs,Gold
1535,Poland,POL,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,Silver
1579,Ghana,GHA,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
1583,Switzerland,SUI,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze
1617,Nigeria,NGR,2008,Summer,Beijing,Football,Football Men's Football,Silver
1637,Nigeria,NGR,2008,Summer,Beijing,Football,Football Men's Football,Silver
1651,Brazil,BRA,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
1652,Brazil,BRA,1988,Summer,Seoul,Football,Football Men's Football,Silver
1665,Nigeria,NGR,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
1668,Brazil,BRA,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
1712,France-1,FRA,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
1713,France-1,FRA,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
1720,Germany-2,GER,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,Silver
1722,Ghana,GHA,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
1727,United States,USA,1952,Summer,Helsinki,Boxing,Boxing Men's Light-Welterweight,Gold
1728,United States,USA,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,Gold
1729,Great Britain,GBR,1948,Summer,London,Hockey,Hockey Men's Hockey,Silver
1733,Brazil,BRA,1984,Summer,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Silver
1737,Germany,GER,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
1739,Austria,AUT,1912,Summer,Stockholm,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
1752,Sweden,SWE,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
1755,Sweden,SWE,1912,Summer,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
1756,Sweden,SWE,1908,Summer,London,Tennis,"Tennis Women's Singles, Covered Courts",Bronze
1762,Sweden,SWE,1912,Summer,Stockholm,Diving,Diving Men's Platform,Gold
1763,Sweden,SWE,1912,Summer,Stockholm,Diving,Diving Men's Plain High,Gold
1764,Sweden,SWE,1920,Summer,Antwerpen,Diving,Diving Men's Platform,Silver
1772,Great Britain,GBR,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,Gold
1773,Great Britain,GBR,2008,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,Gold
1774,Great Britain,GBR,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,Bronze
1775,Great Britain,GBR,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,Bronze
1807,Lithuania,LTU,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Bronze
1843,United States,USA,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1844,United States,USA,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Gold
1845,United States,USA,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
1846,United States,USA,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1847,United States,USA,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Bronze
1848,United States,USA,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Bronze
1849,United States,USA,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1850,United States,USA,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1856,Brazil,BRA,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
1857,Brazil,BRA,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
1863,Brazil,BRA,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
1872,Hungary,HUN,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1899,Germany,GER,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Silver
1942,Russia,RUS,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Silver
1962,Russia,RUS,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
1968,Nigeria,NGR,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
1976,Romania,ROU,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
1977,South Africa,RSA,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
1997,Pakistan,PAK,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver
2002,South Africa,RSA,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
2005,Romania,ROU,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold
2007,Romania,ROU,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,Bronze
2016,Italy,ITA,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Bronze
2017,Italy,ITA,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver
2031,United States,USA,1996,Summer,Atlanta,Tennis,Tennis Men's Singles,Gold
2044,France,FRA,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Silver
2062,Stella-2,NOR,1920,Summer,Antwerpen,Sailing,Sailing Mixed 6 metres,Bronze
2065,Soviet Union,URS,1956,Summer,Melbourne,Water Polo,Water Polo Men's Water Polo,Bronze
2066,Soviet Union,URS,1960,Summer,Roma,Water Polo,Water Polo Men's Water Polo,Silver
2067,Soviet Union,URS,1964,Summer,Tokyo,Water Polo,Water Polo Men's Water Polo,Bronze
2099,Netherlands,NED,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Gold
2100,Netherlands,NED,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
2110,France,FRA,2012,Summer,London,Swimming,Swimming Men's 200 metres Freestyle,Gold
2111,France,FRA,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
2112,France,FRA,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
2126,Canada,CAN,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2127,Canada,CAN,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2128,Canada,CAN,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2138,United States-1,USA,2006,Winter,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
2143,Hungary,HUN,1964,Summer,Tokyo,Fencing,"Fencing Women's Foil, Team",Gold
2144,Italy,ITA,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Team",Gold
2145,Italy,ITA,1932,Summer,Los Angeles,Fencing,"Fencing Men's epee, Individual",Bronze
2146,Italy,ITA,1932,Summer,Los Angeles,Fencing,"Fencing Men's epee, Team",Silver
2148,Italy,ITA,1948,Summer,London,Fencing,"Fencing Men's epee, Team",Silver
2159,Sweden,SWE,1936,Summer,Berlin,Boxing,Boxing Men's Lightweight,Bronze
2170,"Large boat, Central Naval Prep School ""Poros""-1",GRE,1906,Summer,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Gold
2173,Netherlands,NED,1928,Summer,Amsterdam,Gymnastics,Gymnastics Women's Team All-Around,Gold
2183,Argentina,ARG,2008,Summer,Beijing,Football,Football Men's Football,Gold
2184,Cuba,CUB,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Gold
2256,Cuba,CUB,1980,Summer,Moskva,Boxing,Boxing Men's Light-Welterweight,Bronze
2263,Spain,ESP,2012,Summer,London,Handball,Handball Women's Handball,Bronze
2280,Spain,ESP,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
2288,Cuba,CUB,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
2331,Indonesia,INA,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Silver
2352,United States,USA,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Silver
2363,United States,USA,1972,Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
2367,Great Britain,GBR,1908,Summer,London,Athletics,Athletics Men's Triple Jump,Gold
2386,Finland,FIN,1932,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,Bronze
2391,Sweden,SWE,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
2396,Sweden,SWE,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
2397,Sweden,SWE,1924,Winter,Chamonix,Curling,Curling Men's Curling,Silver
2398,Sweden,SWE,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
2403,Finland,FIN,1924,Summer,Paris,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver
2406,Sweden,SWE,1912,Summer,Stockholm,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman",Silver
2410,United States,USA,1948,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
2423,Germany,GER,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
2429,Germany,GER,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
2433,Sweden,SWE,1932,Summer,Los Angeles,Boxing,Boxing Men's Lightweight,Silver
2438,Sweden,SWE,1952,Summer,Helsinki,Football,Football Men's Football,Bronze
2453,Indonesia-1,INA,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Gold
2462,Sweden,SWE,1948,Summer,London,Athletics,Athletics Men's Triple Jump,Gold
2465,Germany-1,GER,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
2466,United States,USA,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
2467,United States,USA,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Butterfly,Silver
2468,United States,USA,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
2475,Pakistan,PAK,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Bronze
2478,Pakistan,PAK,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Gold
